regime,sigma_s,xi,snr_db,aber_system,aber_system_quad,ref_spread_percent,floor_fast,floor_quad,resolved,f_H_mass,E_H_numeric,E_H_analytic,A0
weak,0.05,1.548,34,1.47652614e-17,1.14006754e-17,22.787175,0.000000e+00,2.275510e-21,1,0.999993,2.366218,2.366234,2.096053e-01
weak,0.05,1.548,36,3.83984330e-19,6.72383827e-18,1651.071003,2.579630e-19,0.000000e+00,0,0.999993,2.366218,2.366234,2.096053e-01
weak,0.05,1.548,38,3.29937865e-18,4.70193648e-18,42.509757,5.793329e-25,0.000000e+00,1,0.999993,2.366218,2.366234,2.096053e-01
weak,0.05,1.548,40,0.00000000e+00,0.00000000e+00,nan,5.854484e-18,3.962081e-18,0,0.999993,2.366218,2.366234,2.096053e-01
weak,0.05,1.548,42,0.00000000e+00,0.00000000e+00,nan,1.879644e-18,2.645684e-18,0,0.999993,2.366218,2.366234,2.096053e-01
weak,0.05,1.548,44,0.00000000e+00,0.00000000e+00,nan,1.396100e-18,1.051448e-18,0,0.999993,2.366218,2.366234,2.096053e-01
weak,0.05,1.548,46,0.00000000e+00,0.00000000e+00,nan,1.743146e-19,1.115846e-19,0,0.999993,2.366218,2.366234,2.096053e-01
weak,0.05,1.548,48,2.48197010e-20,4.26077681e-20,71.669144,9.477366e-25,4.673893e-46,1,0.999993,2.366218,2.366234,2.096053e-01
weak,0.05,1.967,16,1.03538854e-02,1.03521218e-02,0.017034,7.277887e-19,9.771746e-18,1,0.999992,1.645602,1.645615,1.294337e-01
weak,0.05,1.967,18,2.71751687e-03,2.71707067e-03,0.016419,2.177894e-17,1.980334e-19,1,0.999992,1.645602,1.645615,1.294337e-01
weak,0.05,1.967,20,4.83181525e-04,4.83105568e-04,0.015720,4.993622e-18,6.702118e-18,1,0.999992,1.645602,1.645615,1.294337e-01
weak,0.05,1.967,22,5.49896793e-05,5.49814621e-05,0.014943,2.294729e-18,5.726279e-19,1,0.999992,1.645602,1.645615,1.294337e-01
weak,0.05,1.967,24,3.82975619e-06,3.82921559e-06,0.014116,2.154593e-297,7.303266e-19,1,0.999992,1.645602,1.645615,1.294337e-01
weak,0.05,1.967,26,1.58280865e-07,1.58259853e-07,0.013275,0.000000e+00,0.000000e+00,1,0.999992,1.645602,1.645615,1.294337e-01
weak,0.05,1.967,28,3.81897695e-09,3.81850224e-09,0.012430,5.385008e-18,8.161728e-18,1,0.999992,1.645602,1.645615,1.294337e-01
weak,0.05,1.967,30,5.36133330e-11,5.36071054e-11,0.011616,2.054540e-18,8.450124e-18,1,0.999992,1.645602,1.645615,1.294337e-01
weak,0.05,1.967,32,4.41217208e-13,4.41163085e-13,0.012267,1.710307e-18,7.878404e-18,1,0.999992,1.645602,1.645615,1.294337e-01
weak,0.05,1.967,34,2.16103072e-15,2.16249925e-15,0.067955,1.669468e-18,5.733938e-19,1,0.999992,1.645602,1.645615,1.294337e-01
weak,0.05,1.967,36,0.00000000e+00,2.16506234e-17,nan,8.943648e-18,0.000000e+00,0,0.999992,1.645602,1.645615,1.294337e-01
weak,0.05,1.967,38,1.51273300e-17,1.01199543e-17,33.101517,0.000000e+00,0.000000e+00,1,0.999992,1.645602,1.645615,1.294337e-01
weak,0.05,1.967,40,7.46395549e-18,4.90719890e-20,99.342547,0.000000e+00,2.813098e-19,1,0.999992,1.645602,1.645615,1.294337e-01
weak,0.05,1.967,42,6.30137352e-18,9.94007483e-19,84.225543,0.000000e+00,3.928859e-20,1,0.999992,1.645602,1.645615,1.294337e-01
weak,0.05,1.967,44,0.00000000e+00,0.00000000e+00,nan,4.552803e-18,4.632017e-18,0,0.999992,1.645602,1.645615,1.294337e-01
weak,0.05,1.967,46,0.00000000e+00,0.00000000e+00,nan,4.196574e-18,1.546135e-18,0,0.999992,1.645602,1.645615,1.294337e-01
