regime,sigma_s,snr_db,xi,z,K,A0,Pe_reference,Pe_interp_free,abs_err_interp_free,rel_err_interp_free,eta_f64,ref_in_range,f64_in_range
strong,0.1,34,3.4936825610323816,3.636989,20,0.010241107236306179,3.60031301243236124e-01,3.60031301243196822e-01,3.930190e-14,1.091624e-13,5.910610e-15,1,1
strong,0.1,38,4.3127156835214224,3.496866,20,0.0067206299172379485,3.53609747350668358e-01,3.53609747350651871e-01,1.648681e-14,4.662431e-14,5.040225e-15,1,1
strong,0.1,40,3.6143418961354592,1.950896,10,0.0095687421351056939,2.95204399233053638e-01,2.95204399233044312e-01,9.325873e-15,3.159124e-14,1.555573e-15,1,1
strong,0.1,44,4.6341647618893971,2.023581,20,0.005820607159695167,2.95948045991945463e-01,2.95948045991945463e-01,0.000000e+00,0.000000e+00,1.562544e-15,1,1
strong,0.2,30,1.5762244278851769,4.693202,20,0.012578233047806323,4.05678593717012759e-01,4.05678593716714886e-01,2.978728e-13,7.342582e-13,7.414761e-14,1,1
strong,0.2,40,1.2470290972622633,0.928918,10,0.020096090011555254,2.72799021976180278e-01,2.72799021976180001e-01,2.775558e-16,1.017437e-15,2.435321e-15,1,1
strong,0.2,44,1.8642751029557483,1.309954,10,0.0089915163062408866,2.74251025933968551e-01,2.74251025933968107e-01,4.440892e-16,1.619280e-15,1.623393e-15,1,1
strong,0.3,38,0.94429797691455697,1.508797,10,0.015576080665350897,3.55255618578437127e-01,3.55255618578440568e-01,3.441691e-15,9.687929e-15,4.063290e-15,1,1
strong,0.3,44,0.59667736177400821,0.301887,5,0.03901619826778005,3.07295510035509811e-01,3.07295510035509811e-01,0.000000e+00,0.000000e+00,7.737603e-17,1,1
weak,0.05,30,2.4031593436681109,6.504103,20,0.086635943446520036,9.25985167768176853e-02,9.25985167759790784e-02,8.386070e-13,9.056376e-12,2.310880e-12,1,1
weak,0.05,34,2.7563250131115753,5.400211,20,0.065837721518673467,6.79277027633875818e-02,6.79277027629723307e-02,4.152512e-13,6.113134e-12,3.748302e-13,1,1
weak,0.05,38,1.4854580498051824,0.984580,10,0.22784231185659781,9.33374361176311784e-03,9.33374361176308315e-03,3.469447e-17,3.717101e-15,7.122663e-18,1,1
weak,0.05,40,3.5089522498031536,4.387418,20,0.040614067338413655,4.58224173029877016e-02,4.58224173030394866e-02,5.178497e-14,1.130123e-12,1.653193e-14,1,1
weak,0.1,40,1.3827045029338181,2.724400,20,0.065405558363609603,5.34556881448636917e-02,5.34556881448624427e-02,1.249001e-15,2.336516e-14,4.306052e-16,1,1
weak,0.1,44,2.6380115373168977,6.259176,20,0.017962565577503392,8.45214753030037180e-02,8.45214752771425992e-02,2.586112e-11,3.059710e-10,1.051586e-11,1,1
weak,0.2,44,0.6396581318452238,1.471315,10,0.076415212466828294,1.80208025551210932e-01,1.80208025551210904e-01,2.775558e-17,1.540196e-16,3.642954e-18,1,1
moderate,0.05,30,4.0055769205885712,4.520119,20,0.031165611737831451,2.62373493894764720e-01,2.62373493894754672e-01,1.004752e-14,3.829472e-14,7.300442e-15,1,1
moderate,0.05,34,2.6594734899347139,1.256767,10,0.070724649867611497,1.17512197937147816e-01,1.17512197937147705e-01,1.110223e-16,9.447726e-16,2.531622e-16,1,1
moderate,0.05,38,1.8884915749627544,0.399271,5,0.14046164272347308,4.63580159009262457e-02,4.63580159009263360e-02,9.020562e-17,1.945847e-15,6.279851e-17,1,1
moderate,0.05,40,3.4769365661644804,1.076925,10,0.041365683934698153,9.75146287443255239e-02,9.75146287443254683e-02,5.551115e-17,5.692597e-16,1.494423e-16,1,1
moderate,0.05,44,2.6370838770358098,0.390755,5,0.071931831696151541,3.79909321225708821e-02,3.79909321225709307e-02,4.857226e-17,1.278522e-15,2.104482e-17,1,1
moderate,0.1,30,1.3259284576500117,1.980438,10,0.071131876405442038,2.19443372906060585e-01,2.19443372906061640e-01,1.054712e-15,4.806305e-15,2.282123e-15,1,1
moderate,0.1,38,2.1408780087024195,2.056232,20,0.027274291831122267,1.81010394037075029e-01,1.81010394037066646e-01,8.382184e-15,4.630775e-14,6.283264e-15,1,1
moderate,0.1,40,1.6720991990248399,0.996242,10,0.044715766098214295,1.18226896081017580e-01,1.18226896081017330e-01,2.498002e-16,2.112888e-15,8.652090e-16,1,1
moderate,0.1,44,1.8504431080111845,0.769870,10,0.036509673054174234,8.89520381698088031e-02,8.89520381698094553e-02,6.522560e-16,7.332671e-15,5.253531e-16,1,1
