regime,sigma_s,xi,snr_db,K,A0,z,admissible,max_abs_ak,eta_f64,first_omitted,Pe_series
weak,0.05,2.511,20,10,7.934519e-02,22.4577,0,5.384973e+07,1.195704e-08,9.744174e+05,-1.082436e+06
weak,0.05,2.511,20,20,7.934519e-02,22.4577,0,5.384973e+07,1.195704e-08,7.865058e-01,-5.543272e-01
weak,0.05,2.511,22,5,7.934519e-02,17.8388,0,1.291765e+07,2.868294e-09,1.799328e+06,-2.076026e+06
weak,0.05,2.511,22,10,7.934519e-02,17.8388,0,1.291765e+07,2.868294e-09,3.879226e+04,-4.246392e+04
weak,0.05,2.511,22,20,7.934519e-02,17.8388,0,1.291765e+07,2.868294e-09,3.131136e-03,2.373547e-01
weak,0.05,2.511,24,5,7.934519e-02,14.1698,0,3.098728e+06,6.880559e-10,2.265220e+05,-2.565270e+05
weak,0.05,2.511,24,10,7.934519e-02,14.1698,0,3.098728e+06,6.880559e-10,1.544348e+03,-1.668468e+03
weak,0.05,2.511,24,20,7.934519e-02,14.1698,0,3.098728e+06,6.880559e-10,1.246528e-05,2.028517e-01
weak,0.05,2.511,26,5,7.934519e-02,11.2555,0,7.433332e+05,1.650531e-10,2.851743e+04,-3.175736e+04
weak,0.05,2.511,26,10,7.934519e-02,11.2555,0,7.433332e+05,1.650531e-10,6.148158e+01,-6.550863e+01
weak,0.05,2.511,26,20,7.934519e-02,11.2555,0,7.433332e+05,1.650531e-10,4.962516e-08,1.660308e-01
weak,0.05,2.511,28,5,7.934519e-02,8.9406,0,1.783132e+05,3.959349e-11,3.590132e+03,-3.938439e+03
weak,0.05,2.511,28,10,7.934519e-02,8.9406,0,1.783132e+05,3.959349e-11,2.447626e+00,-2.456807e+00
weak,0.05,2.511,28,20,7.934519e-02,8.9406,0,1.783132e+05,3.959349e-11,1.975613e-10,1.317139e-01
weak,0.05,2.511,30,5,7.934519e-02,7.1017,0,4.277436e+04,9.497816e-12,4.519708e+02,-4.891902e+02
weak,0.05,2.511,30,10,7.934519e-02,7.1017,0,4.277436e+04,9.497816e-12,9.744174e-02,-9.707905e-04
weak,0.05,2.511,30,20,7.934519e-02,7.1017,1,4.277436e+04,9.497816e-12,7.865058e-13,1.011883e-01
weak,0.05,2.511,32,5,7.934519e-02,5.6411,0,1.026085e+04,2.278367e-12,5.689976e+01,-6.080628e+01
weak,0.05,2.511,32,10,7.934519e-02,5.6411,0,1.026085e+04,2.278367e-12,3.879226e-03,7.122099e-02
weak,0.05,2.511,32,20,7.934519e-02,5.6411,1,1.026085e+04,2.278367e-12,3.131136e-15,7.525762e-02
weak,0.05,2.511,34,5,7.934519e-02,4.4809,0,2.461407e+03,5.465422e-13,7.163255e+00,-7.532283e+00
weak,0.05,2.511,34,10,7.934519e-02,4.4809,0,2.461407e+03,5.465422e-13,1.544348e-04,5.404064e-02
weak,0.05,2.511,34,20,7.934519e-02,4.4809,1,2.461407e+03,5.465422e-13,1.246528e-17,5.420031e-02
weak,0.05,2.511,36,5,7.934519e-02,3.5593,0,5.904505e+02,1.311064e-13,9.018004e-01,-9.087965e-01
weak,0.05,2.511,36,10,7.934519e-02,3.5593,0,5.904505e+02,1.311064e-13,6.148158e-06,3.782085e-02
weak,0.05,2.511,36,20,7.934519e-02,3.5593,1,5.904505e+02,1.311064e-13,4.962516e-20,3.782717e-02
